name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,sample_index,predicted_class,confidence,entropy,variation_ratio,mean_prob,std_prob,mean_probs,std_probs
4539,7.7,0.15,28.0,0.06,4,2015-2017,M-v,38h,,,2015 VH171,2460800.5,338.99279,20.46154,69.89412,2.45631,0.1060653,0.00323936,45.2372903,MPO458709,3,MPCLINUX,000A,2017-12-13,2467285.60789,304.2600094,40.4391835,50.0353971,22.3641888,1.0032975,Distant Object,,,,,,,3996,1,0.99793506,0.014829945,0.0,0.5,0.0009804976,"[0.0020650026854127645, 0.9979350566864014]","[0.0009804964065551758, 0.0009804988512769341]"
4540,8.9,0.15,31.0,0.12,4,2015-2017,M-v,38h,,,2015 VJ171,2460800.5,9.1548,359.33894,53.5829,21.64035,0.1740442,0.00308807,46.7030251,MPO458710,3,MPCLINUX,000A,2017-09-20,2457835.86269,319.1666595,38.5746345,54.8314157,22.6441629,1.003143,Distant Object,,,,,,,3997,1,0.99671656,0.022055298,0.0,0.49999997,0.0016817569,"[0.003283377969637513, 0.9967165589332581]","[0.0016817558789625764, 0.001681758090853691]"
4541,8.5,0.15,28.0,0.1,4,2015-2017,M-v,38h,,,2015 VK171,2460800.5,261.33571,100.92474,67.27072,5.11545,0.0658569,0.00344092,43.452999,MPO458710,3,MPCLINUX,000A,2017-12-16,2489474.47774,286.4373409,40.5913192,46.3146788,21.6322688,1.0035034,Distant Object,,,,,,,3998,1,0.9979448,0.014769146,0.0,0.49999997,0.0008912784,"[0.0020551467314362526, 0.9979447722434998]","[0.0008912802441045642, 0.0008912765770219266]"
4542,7.7,0.15,27.0,0.06,3,2015-2017,M-v,38h,,,2015 VL171,2460800.5,289.99459,21.05288,115.71239,1.599,0.0460227,0.0030383,47.2116739,MPO458710,3,MPCLINUX,000A,2017-09-22,2483841.48015,324.39496,45.0388652,49.3844826,23.5558377,1.0030922,Distant Object,,,,,,,3999,1,0.99687696,0.021135038,0.0,0.5,0.0017280275,"[0.0031230857130140066, 0.9968769550323486]","[0.0017280278261750937, 0.0017280271276831627]"
4543,8.3,0.15,25.0,0.08,4,2015-2017,M-v,38h,,,2015 VM171,2460800.5,248.6638,96.88786,85.96719,2.04103,0.0981184,0.00334147,44.3109605,MPO458710,3,MPCLINUX,000A,2017-12-16,2494120.72506,294.9624596,39.96324,48.658681,21.9421846,1.0034018,Distant Object,,,,,,,4000,1,0.9978138,0.015575967,0.0,0.50000006,0.000937163,"[0.0021862806752324104, 0.9978138208389282]","[0.0009371610940434039, 0.0009371649939566851]"
4544,8.09,0.15,41.0,0.31,4,2015-2024,M-v,3Ek,,,2015 VN171,2460800.5,203.54142,131.82327,86.88201,2.62575,0.0243145,0.00337306,44.0338196,MPO893700,4,MPCLINUX,000A,2024-11-01,2507186.08553,292.199547,42.9631593,45.1044799,22.0038935,1.0034341,Distant Object,,,,,,,4001,1,0.99786216,0.015279055,0.0,0.5,0.0009534664,"[0.0021378686651587486, 0.9978621602058411]","[0.0009534639539197087, 0.0009534687851555645]"
4545,7.7,0.15,39.0,0.09,3,2014-2017,M-v,38h,,,2015 VO171,2460800.5,47.32334,281.49504,88.58293,2.85924,0.0588453,0.00333039,44.4091442,MPO458710,4,MPCLINUX,000A,2017-09-24,2446590.56696,295.943364,41.7958748,47.0224136,22.1276828,1.0033905,Distant Object,,,,,,,4002,1,0.9981095,0.013743394,0.0,0.49999997,0.00086807506,"[0.0018904125317931175, 0.9981095194816589]","[0.0008680777391418815, 0.0008680723840370774]"
4546,8.4,0.15,37.0,0.1,3,2015-2017,M-v,38h,,,2015 VP171,2460800.5,327.9715,21.79679,76.37944,3.93341,0.0511378,0.00341447,43.6770836,MPO458711,3,MPCLINUX,000A,2017-12-16,2470180.91823,288.6559062,41.4435336,45.9106336,21.7814324,1.0034764,Distant Object,,,,,,,4003,1,0.9980104,0.014363053,0.0,0.50000006,0.0008196558,"[0.0019896908197551966, 0.9980103969573975]","[0.0008196558337658644, 0.0008196557173505425]"
4547,8.2,0.15,37.0,0.08,2,2014-2017,M-v,38h,,,2015 VQ171,2460800.5,72.08958,276.27378,59.48792,13.25464,0.1222614,0.00320926,45.5196828,MPO458711,4,MPCLINUX,040A,2017-12-16,2438337.08856,307.1134527,39.9543827,51.0849829,22.4196307,1.0032668,Distant Object,,,,,,,4004,1,0.9976159,0.016779905,0.0,0.5000001,0.0011898777,"[0.002384338527917862, 0.9976158738136292]","[0.0011898771626874804, 0.0011898784432560205]"
4548,8.3,0.15,38.0,0.08,3,2014-2017,M-v,38h,,,2015 VR171,2460800.5,90.44793,114.0326,209.57835,5.64592,0.0643966,0.00321165,45.4971252,MPO458711,4,MPCLINUX,000A,2017-12-16,2432637.61234,306.8851926,42.567265,48.4269854,22.6542261,1.0032692,Distant Object,,,,,,,4005,1,0.9974183,0.017964574,0.0,0.5000001,0.0011122103,"[0.002581911627203226, 0.9974182844161987]","[0.0011122107971459627, 0.00111220998223871]"
