Name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy
,182.3753518,0.839602,6.16773,0,0.9959983,0.013777776,0.02608709
,201.8014629,0.6281152,163.33238,0,0.99591184,0.0138308,0.026563004
,220.1434972,0.8819367,26.11968,0,0.9955145,0.03175503,0.02872781
,182.5687756,0.952104,125.31171,0,0.9951606,0.018227242,0.030626254
,233.2263743,0.865384,6.03144,0,0.99514115,0.02809257,0.030729674
,287.5518046,0.9080569,1.59914,0,0.9951317,0.044102434,0.030780211
,189.5174774,0.8911944,9.25439,0,0.9950114,0.025761623,0.031419225
,372.3444599,0.9407975,26.36824,0,0.99446917,0.055021096,0.034261387
,199.4484454,0.8232598,11.96916,0,0.9942868,0.034636043,0.035205204
,202.2797227,0.8882141,42.09742,0,0.9939956,0.018892284,0.03670032
,168.0923995,0.7654753,8.99892,0,0.9933788,0.023621354,0.03982069
,186.5313163,0.9209437,53.41848,0,0.9929167,0.023657002,0.04212038
,189.5193509,0.8198555,13.11063,0,0.99257,0.04311342,0.043825738
,179.4782157,0.8035331,16.95583,0,0.9924071,0.03713193,0.044621702
,190.9803509,0.782845,37.02085,0,0.99186,0.040900193,0.047268026
,208.6121884,0.8959059,5.42683,0,0.9914598,0.06571896,0.049180143
,169.9231592,0.7713968,19.74939,0,0.99088746,0.034025043,0.05188236
,207.8421446,0.7884931,10.63523,0,0.98986787,0.054077946,0.05660787
,171.5871905,0.8065541,23.37871,0,0.98950666,0.05045379,0.05825626
,199.9308854,0.8955836,6.63698,0,0.98947275,0.053223107,0.05841054
,193.0696736,0.8413518,7.81935,0,0.98881984,0.08400447,0.061356723
,179.5187167,0.8507215,15.95682,0,0.9885821,0.050284542,0.062420055
,176.878489,0.8161876,23.63254,0,0.98797834,0.049301203,0.06509718
,170.6331535,0.7478688,6.21346,0,0.9879335,0.04175904,0.065294944
,172.40963,0.8947367,10.75708,0,0.9874862,0.045927644,0.067257196
,156.896377,0.7574014,15.51677,0,0.98599166,0.030756665,0.07369865
,194.9889101,0.8860319,14.44788,0,0.9858519,0.08520192,0.0742927
,186.3431805,0.8129349,18.24258,0,0.9837845,0.077208616,0.08292023
,175.5055197,0.8611209,57.95733,0,0.98224366,0.060030725,0.08917403
,160.3369911,0.7857164,4.50749,0,0.98133963,0.0599333,0.09277838
,171.9243865,0.7822323,34.99874,0,0.98036283,0.08700396,0.09662336
,171.3790935,0.76516,32.62972,0,0.97898513,0.06750575,0.10196262
,165.8395735,0.8592804,2.51771,0,0.97806215,0.09250118,0.105488166
,178.2701324,0.8901989,26.22446,0,0.9773341,0.09042367,0.10824057
,178.7660331,0.7763011,21.37882,0,0.97705704,0.092217505,0.109281465
